label,x,y,crimerates
Bromley,542896.0,165656.0,65.2
Richmond_upon_Thames,517387.0,172878.0,62.8
Hillingdon,507890.0,183653.0,74.8
Havering,554005.0,187251.0,69.0
Kingston_upon_Thames,519297.0,166818.0,63.5
Sutton,526976.0,164132.0,58.4
Hounslow,513583.0,175658.0,88.3
Merton,525475.0,169421.0,66.5
Wandsworth,526129.0,174114.0,82.5
Croydon,533290.0,163541.0,85.2
Lambeth,530840.0,174437.0,114.4
Southwark,533855.0,176787.0,113.0
Lewisham,537667.0,174002.0,89.0
Greenwich,542857.0,177052.0,82.5
Ealing,515888.0,181715.0,88.2
Hammersmith_and_Fulham,523609.0,178841.0,119.2
Brent,520177.0,185829.0,87.2
Harrow,514987.0,190067.0,55.8
Barnet,524027.0,192316.0,70.9
Islington,531129.0,184978.0,134.9
Hackney,534370.0,185486.0,112.2
Newham,541444.0,182849.0,102.0
Barking_and_Dagenham,548021.0,184940.0,92.2
Haringey,531199.0,189643.0,91.3
Enfield,532423.0,196421.0,71.7
Waltham_Forest,537758.0,190224.0,94.1
Redbridge,543915.0,189463.0,79.5
Bexley,548928.0,175721.0,52.9
Kensington_and_Chelsea,525575.0,179580.0,131.5
Westminster,527746.0,180994.0,282.0
Camden,527865.0,184663.0,148.9
Tower_Hamlets,536468.0,181476.0,113.4
City of_London,532464.0,181220.0,65.7
