label,x,y,houseprice
Bromley,542896.0,165656.0,278000.0
Richmond_upon_Thames,517387.0,172878.0,430000.0
Hillingdon,507890.0,183653.0,250000.0
Havering,554005.0,187251.0,220000.0
Kingston_upon_Thames,519297.0,166818.0,318000.0
Sutton,526976.0,164132.0,240000.0
Hounslow,513583.0,175658.0,263000.0
Merton,525475.0,169421.0,290000.0
Wandsworth,526129.0,174114.0,417250.0
Croydon,533290.0,163541.0,230000.0
Lambeth,530840.0,174437.0,320000.0
Southwark,533855.0,176787.0,330000.0
Lewisham,537667.0,174002.0,248500.0
Greenwich,542857.0,177052.0,245000.0
Ealing,515888.0,181715.0,310000.0
Hammersmith_and_Fulham,523609.0,178841.0,490000.0
Brent,520177.0,185829.0,320000.0
Harrow,514987.0,190067.0,300000.0
Barnet,524027.0,192316.0,330000.0
Islington,531129.0,184978.0,407550.0
Hackney,534370.0,185486.0,325000.0
Newham,541444.0,182849.0,219000.0
Barking_and_Dagenham,548021.0,184940.0,174995.0
Haringey,531199.0,189643.0,315000.0
Enfield,532423.0,196421.0,247000.0
Waltham_Forest,537758.0,190224.0,241000.0
Redbridge,543915.0,189463.0,265000.0
Bexley,548928.0,175721.0,210000.0
Kensington_and_Chelsea,525575.0,179580.0,890000.0
Westminster,527746.0,180994.0,632450.0
Camden,527865.0,184663.0,500000.0
Tower_Hamlets,536468.0,181476.0,305000.0
City of_London,532464.0,181220.0,485000.0
